thumbCount,idAtProviders,dateModifiedAtLastProvider,id,name,address,lastProviderId,postalCode,city,siren,isActive,validationToken,dateCreated,fieldsUpdated,dateValidated
0,,2021-08-06 09:21:41.230363,11484,LE PAX,5 RUE MARECHAL JOFFRE,,44510,LE POULIGUEN,419354626,t,,2021-08-06 09:21:41.23037,{},2021-08-06 09:24:38.240426
0,,2018-08-01 12:05:46.234789,324,ELDORADO,23 RUE LEON GONTRAND DAMAS,,97300,CAYENNE,848175618,t,,2018-08-01 12:05:46.234801,{},
0,,2021-02-05 14:51:17.489998,5581,MADIANA CONGRES,PALAIS DES CONGRES,,97233,SCHOELCHER,393520036,t,,2021-02-05 14:51:17.490011,{},
0,,2021-02-05 15:22:03.95315,5582,CINEMA D ARBAUD,18 BOULEVARD FELIX EBOUE,,97100,BASSE-TERRE,313088825,t,,2021-02-05 15:22:03.953167,{},
